uniqueID,preLimVal,region,hemi,genotype,postLimVal,removeRegion,parent,major,x,y
app_IF_right,0.179621894,IF,right,app,0.179621894,FALSE,IF,MB,app,IF_right
app_IG_left,0.576094236,IG,left,app,0.576094236,FALSE,IG,HPF,app,IG_left
app_IG_right,0.655248865,IG,right,app,0.655248865,FALSE,IG,HPF,app,IG_right
app_IGL_left,0.299568856,IGL,left,app,0.299568856,FALSE,IGL,TH,app,IGL_left
app_IGL_right,0.416996201,IGL,right,app,0.416996201,FALSE,IGL,TH,app,IGL_right
app_III_left,-0.024626778,III,left,app,0,FALSE,III,MB,app,III_left
app_III_right,-0.022790725,III,right,app,0,FALSE,III,MB,app,III_right
app_IIIn_left,0.715019229,IIIn,left,app,0.715019229,TRUE,IIIn,fiber tracts,app,IIIn_left
app_IIIn_right,0.872270083,IIIn,right,app,0.872270083,TRUE,IIIn,fiber tracts,app,IIIn_right
app_IIn_left,-5,IIn,left,app,0,TRUE,IIn,fiber tracts,app,IIn_left
app_IIn_right,-2.467674106,IIn,right,app,0,TRUE,IIn,fiber tracts,app,IIn_right
app_ILA_left,0.797839413,ILA,left,app,0.797839413,FALSE,ILA,Isocortex,app,ILA_left
app_ILA_right,0.749931752,ILA,right,app,0.749931752,FALSE,ILA,Isocortex,app,ILA_right
app_IMD_left,0.601033285,IMD,left,app,0.601033285,FALSE,IMD,TH,app,IMD_left
app_IMD_right,0.645192394,IMD,right,app,0.645192394,FALSE,IMD,TH,app,IMD_right
app_In_left,0.626520287,In,left,app,0.626520287,TRUE,In,fiber tracts,app,In_left
app_In_right,0.555051797,In,right,app,0.555051797,TRUE,In,fiber tracts,app,In_right
app_INC_left,0.228823337,INC,left,app,0.228823337,FALSE,INC,MB,app,INC_left
app_INC_right,0.272911777,INC,right,app,0.272911777,FALSE,INC,MB,app,INC_right
app_int_left,0.387051472,int,left,app,0.387051472,TRUE,int,fiber tracts,app,int_left
app_int_right,0.376532867,int,right,app,0.376532867,TRUE,int,fiber tracts,app,int_right
app_IntG_left,0.743694127,IntG,left,app,0.743694127,FALSE,IntG,TH,app,IntG_left
app_IntG_right,-0.067719075,IntG,right,app,0,FALSE,IntG,TH,app,IntG_right
app_IPN_left,0.424247085,IPN,left,app,0.424247085,FALSE,IPN,MB,app,IPN_left
app_IPN_right,0.441291747,IPN,right,app,0.441291747,FALSE,IPN,MB,app,IPN_right
app_IV_left,0.561152885,IV,left,app,0.561152885,FALSE,IV,MB,app,IV_left
app_IV_right,0.241633188,IV,right,app,0.241633188,FALSE,IV,MB,app,IV_right
app_IVn_left,-1.115564996,IVn,left,app,0,TRUE,IVn,fiber tracts,app,IVn_left
app_LA_left,0.979191057,LA,left,app,0.979191057,FALSE,LA,CTXsp,app,LA_left
app_LA_right,0.89320229,LA,right,app,0.89320229,FALSE,LA,CTXsp,app,LA_right
app_LD_left,0.862463555,LD,left,app,0.862463555,FALSE,LD,TH,app,LD_left
app_LD_right,0.720175817,LD,right,app,0.720175817,FALSE,LD,TH,app,LD_right
