uniqueID,preLimVal,region,hemi,mouse,genotype,mpi,postLimVal,removeRegion,parent,major,x,y
2314_app_9_IGL_left,-1.738494954,IGL,left,2314,app,9,-1.738494954,FALSE,IGL,TH,2314_app_9,IGL_left
2314_app_9_IG_left,-5,IG,left,2314,app,9,-2,FALSE,IG,HPF,2314_app_9,IG_left
2314_app_9_IG_right,-5,IG,right,2314,app,9,-2,FALSE,IG,HPF,2314_app_9,IG_right
2314_app_9_IIIn_left,-1.100910465,IIIn,left,2314,app,9,-1.100910465,TRUE,IIIn,fiber tracts,2314_app_9,IIIn_left
2314_app_9_IIIn_right,-1.798188311,IIIn,right,2314,app,9,-1.798188311,TRUE,IIIn,fiber tracts,2314_app_9,IIIn_right
2314_app_9_ILA_left,-1.596034123,ILA,left,2314,app,9,-1.596034123,FALSE,ILA,Isocortex,2314_app_9,ILA_left
2314_app_9_ILA_right,-1.335989675,ILA,right,2314,app,9,-1.335989675,FALSE,ILA,Isocortex,2314_app_9,ILA_right
2314_app_9_IMD_left,-1.374984676,IMD,left,2314,app,9,-1.374984676,FALSE,IMD,TH,2314_app_9,IMD_left
2314_app_9_IMD_right,-1.420094815,IMD,right,2314,app,9,-1.420094815,FALSE,IMD,TH,2314_app_9,IMD_right
2314_app_9_INC_left,-1.042060515,INC,left,2314,app,9,-1.042060515,FALSE,INC,MB,2314_app_9,INC_left
2314_app_9_INC_right,-1.26180653,INC,right,2314,app,9,-1.26180653,FALSE,INC,MB,2314_app_9,INC_right
2314_app_9_IPN_left,-0.721714215,IPN,left,2314,app,9,-0.721714215,FALSE,IPN,MB,2314_app_9,IPN_left
2314_app_9_IPN_right,-0.694190797,IPN,right,2314,app,9,-0.694190797,FALSE,IPN,MB,2314_app_9,IPN_right
2314_app_9_In_left,-2.140176513,In,left,2314,app,9,-2,TRUE,In,fiber tracts,2314_app_9,In_left
2314_app_9_In_right,-2.008553399,In,right,2314,app,9,-2,TRUE,In,fiber tracts,2314_app_9,In_right
2314_app_9_IntG_left,-1.668492512,IntG,left,2314,app,9,-1.668492512,FALSE,IntG,TH,2314_app_9,IntG_left
2314_app_9_LA_left,-1.484458094,LA,left,2314,app,9,-1.484458094,FALSE,LA,CTXsp,2314_app_9,LA_left
2314_app_9_LA_right,-1.006337382,LA,right,2314,app,9,-1.006337382,FALSE,LA,CTXsp,2314_app_9,LA_right
2314_app_9_LD_left,-0.838809054,LD,left,2314,app,9,-0.838809054,FALSE,LD,TH,2314_app_9,LD_left
2314_app_9_LGd_left,-1.752425465,LGd,left,2314,app,9,-1.752425465,FALSE,LGd,TH,2314_app_9,LGd_left
2314_app_9_LGd_right,-1.538711972,LGd,right,2314,app,9,-1.538711972,FALSE,LGd,TH,2314_app_9,LGd_right
2314_app_9_LGv_left,-1.324566705,LGv,left,2314,app,9,-1.324566705,FALSE,LGv,TH,2314_app_9,LGv_left
2314_app_9_LGv_right,-1.486971833,LGv,right,2314,app,9,-1.486971833,FALSE,LGv,TH,2314_app_9,LGv_right
2314_app_9_LHA_left,-0.881597834,LHA,left,2314,app,9,-0.881597834,FALSE,LHA,HY,2314_app_9,LHA_left
2314_app_9_LHA_right,-0.491433719,LHA,right,2314,app,9,-0.491433719,FALSE,LHA,HY,2314_app_9,LHA_right
2314_app_9_LH_left,-1.466235733,LH,left,2314,app,9,-1.466235733,FALSE,LH,TH,2314_app_9,LH_left
2314_app_9_LH_right,-1.376617064,LH,right,2314,app,9,-1.376617064,FALSE,LH,TH,2314_app_9,LH_right
2314_app_9_LM_left,-0.756264825,LM,left,2314,app,9,-0.756264825,FALSE,LM,HY,2314_app_9,LM_left
2314_app_9_LM_right,-0.206709028,LM,right,2314,app,9,-0.206709028,FALSE,LM,HY,2314_app_9,LM_right
2314_app_9_LP_left,-1.705355737,LP,left,2314,app,9,-1.705355737,FALSE,LP,TH,2314_app_9,LP_left
2314_app_9_LP_right,-1.27587887,LP,right,2314,app,9,-1.27587887,FALSE,LP,TH,2314_app_9,LP_right
2314_app_9_LS_left,-0.63023472,LS,left,2314,app,9,-0.63023472,FALSE,LS,STR,2314_app_9,LS_left
2314_app_9_LS_right,-0.062096597,LS,right,2314,app,9,-0.062096597,FALSE,LS,STR,2314_app_9,LS_right
2314_app_9_LT_left,-5,LT,left,2314,app,9,-2,FALSE,LT,MB,2314_app_9,LT_left
2314_app_9_LT_right,-1.065668544,LT,right,2314,app,9,-1.065668544,FALSE,LT,MB,2314_app_9,LT_right
2314_app_9_MA3_left,-0.808468571,MA3,left,2314,app,9,-0.808468571,FALSE,MA3,MB,2314_app_9,MA3_left
2314_app_9_MA3_right,-5,MA3,right,2314,app,9,-2,FALSE,MA3,MB,2314_app_9,MA3_right
2314_app_9_MB_left,-1.056822077,MB,left,2314,app,9,-1.056822077,FALSE,MB,MB,2314_app_9,MB_left
2314_app_9_MB_right,-0.965277543,MB,right,2314,app,9,-0.965277543,FALSE,MB,MB,2314_app_9,MB_right
2314_app_9_MBmot_left,-1.398893559,MBmot,left,2314,app,9,-1.398893559,FALSE,MB,MB,2314_app_9,MBmot_left
2314_app_9_MBmot_right,-1.564336699,MBmot,right,2314,app,9,-1.564336699,FALSE,MB,MB,2314_app_9,MBmot_right
2314_app_9_MBsta_left,-1.014145405,MBsta,left,2314,app,9,-1.014145405,FALSE,MB,MB,2314_app_9,MBsta_left
2314_app_9_MBsta_right,-1.052498859,MBsta,right,2314,app,9,-1.052498859,FALSE,MB,MB,2314_app_9,MBsta_right
2314_app_9_MD_left,-1.703133261,MD,left,2314,app,9,-1.703133261,FALSE,MD,TH,2314_app_9,MD_left
2314_app_9_MD_right,-1.67662225,MD,right,2314,app,9,-1.67662225,FALSE,MD,TH,2314_app_9,MD_right
2314_app_9_MEA_left,-1.013063432,MEA,left,2314,app,9,-1.013063432,FALSE,MEA,STR,2314_app_9,MEA_left
