region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
cPSTN,-0.8511015752524502,0.6172573648008641,0.0,1.0,0.0,1
cPeF,-0.7967700225832431,0.6183069781963153,0.0,1.0,0.0,1
cRCH,-0.7131880891445003,0.6715812938922385,0.0,1.0,0.0,1
cSTN,-0.8643500975251525,0.5774136042354441,0.0,1.0,0.0,1
cTU,-0.7170658439425722,0.6445330116183465,0.0,1.0,0.0,1
cFF,-0.7549731039069185,0.6318145225970563,0.0,1.0,0.0,1
cME,-0.9276191111635023,0.5433763383450786,0.0,1.0,0.0,1
cSCs,-0.5516705917865385,0.6835790735856154,0.0,1.0,0.0,1
cIC,-0.5625572203879119,0.6984492239449693,0.0,1.0,0.0,1
cSAG,-0.8075324611529231,0.6057160043318484,0.0,1.0,0.0,1
