region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
iLPO,0.08120556698380108,0.06087188604136375,0.07978845608028654,0.060281027498908714,0.08869293114533289,0
iPST,0.08038497752863043,0.061162398379981636,0.07978845608028654,0.060281027498908714,0.5494405197292606,0
iPSTN,0.08165102833554964,0.059593659688391705,0.07978845608028654,0.060281027498908714,0.02106477251141238,0
iPeF,0.07930019908956339,0.0590073183106968,0.07978845608028654,0.060281027498908714,0.2738770446437453,0
iRCH,0.08153990457033476,0.06062612723528766,0.07978845608028654,0.060281027498908714,0.0029539875327607486,0
iSTN,0.07954162490169218,0.060289056964956296,0.07978845608028654,0.060281027498908714,0.42021676312337775,0
iTU,0.08009717712415541,0.060758531648475944,0.07978845608028654,0.060281027498908714,0.7425938384248432,0
iFF,0.08000649181705063,0.06133967936205947,0.07978845608028654,0.060281027498908714,0.5804355831271903,0
iME,0.0786685027835844,0.06076731112931781,0.07978845608028654,0.060281027498908714,0.24363807041054275,0
iSCs,0.08006193281532999,0.061997205516183804,0.07978845608028654,0.060281027498908714,0.5269459264891306,0
iIC,0.07842725552209924,0.05983193058525388,0.07978845608028654,0.060281027498908714,0.34469337564302527,0
iSAG,0.08021779651342394,0.059385619035756274,0.07978845608028654,0.060281027498908714,0.433910786706618,0
iPBG,0.08282469035929722,0.05963972567619029,0.07978845608028654,0.060281027498908714,0.0021224117013760885,0
iSCO,0.07935056280334754,0.059006044035404555,0.07978845608028654,0.060281027498908714,0.22075012635954216,0
iSNr,0.10150844917769114,0.07256197220408514,0.07978845608028654,0.060281027498908714,4.14936115368607e-59,1
iVTA,0.6194231844904416,0.04612935201765093,0.07978845608028654,0.060281027498908714,0.0,1
iMRN,0.07835831248394205,0.05689643136524393,0.07978845608028654,0.060281027498908714,0.023342745671631398,0
iSCm,0.07883531763292831,0.059566482345170875,0.07978845608028654,0.060281027498908714,0.8112819465864234,0
iPRC,0.07894262123144147,0.060121294124882325,0.07978845608028654,0.060281027498908714,0.13221141464859162,0
iINC,0.0820893319466273,0.06143592465556794,0.07978845608028654,0.060281027498908714,0.03890501648946433,0
iND,0.07940823921468212,0.061537420618791264,0.07978845608028654,0.060281027498908714,0.06699925279383326,0
iSu3,0.078902852738707,0.05920896738836127,0.07978845608028654,0.060281027498908714,0.6754389123217327,0
iAPN,0.08022340881784157,0.05862064204114368,0.07978845608028654,0.060281027498908714,0.10069939587778028,0
iMPT,0.07870143235555951,0.06104126100216273,0.07978845608028654,0.060281027498908714,0.08575022135738819,0
iNOT,0.07922071502887824,0.06187483365454541,0.07978845608028654,0.060281027498908714,0.1124906407286343,0
iNPC,0.07892255087796873,0.05948880138865382,0.07978845608028654,0.060281027498908714,0.37768471211990273,0
iOP,0.07858202551690484,0.0609603336685948,0.07978845608028654,0.060281027498908714,0.03192330983598027,0
iPPT,0.08050660675665147,0.05944914503190347,0.07978845608028654,0.060281027498908714,0.1963805199188541,0
iRPF,0.07927525070905085,0.060889787557020916,0.07978845608028654,0.060281027498908714,0.27593508928932287,0
iCUN,0.08074865741888561,0.05840732485756475,0.07978845608028654,0.060281027498908714,0.012070083883681524,0
iRN,0.07843714786961031,0.062291896646520545,0.07978845608028654,0.060281027498908714,0.003188967560520546,0
iIII,0.07980038656836516,0.06121845518712054,0.07978845608028654,0.060281027498908714,0.34856021962532335,0
iMA3,0.08133971444851465,0.05971763912829878,0.07978845608028654,0.060281027498908714,0.014547656826221785,0
iIV,0.07984137673857003,0.05980068033538157,0.07978845608028654,0.060281027498908714,0.5460529728525447,0
iPa4,0.08222129724354689,0.05961691134409801,0.07978845608028654,0.060281027498908714,0.0004365960132886522,1
iVTN,0.07978778886371456,0.058414911364111886,0.07978845608028654,0.060281027498908714,0.012007571262553205,0
iAT,0.0813194251349606,0.059910963346254884,0.07978845608028654,0.060281027498908714,0.007780330477502683,0
iLT,0.08011954941699127,0.060886630391859015,0.07978845608028654,0.060281027498908714,0.6536752564616859,0
iMT,0.02585064353935645,0.024091232932800428,0.07978845608028654,0.060281027498908714,0.0,1
iSNc,0.42028649679953367,0.015764212872190174,0.07978845608028654,0.060281027498908714,0.0,1
iPPN,0.09420408569438976,0.06718724817490106,0.07978845608028654,0.060281027498908714,8.668470854525034e-33,1
iIF,0.08179200266495801,0.05978288664830761,0.07978845608028654,0.060281027498908714,0.004293374742016671,0
iIPN,0.08002144000506502,0.0589391931494104,0.07978845608028654,0.060281027498908714,0.35257019901838427,0
iRL,0.07986308828842155,0.05978192475159756,0.07978845608028654,0.060281027498908714,0.3090692147861178,0
iCLI,0.058194550062917884,0.047768111003762465,0.07978845608028654,0.060281027498908714,1.0247685803970945e-82,1
iDR,0.08329236916461759,0.06122272094120155,0.07978845608028654,0.060281027498908714,0.005925476864350192,0
iNLL,0.07880891164003515,0.05961033098803187,0.07978845608028654,0.060281027498908714,0.6444846619738832,0
iPSV,0.08032487126277574,0.060284386206434726,0.07978845608028654,0.060281027498908714,0.47466974203009227,0
iPB,0.07824782874177207,0.057814061941720306,0.07978845608028654,0.060281027498908714,0.11390448391572278,0
iSOC,0.08056465741851696,0.06034566278489674,0.07978845608028654,0.060281027498908714,0.611401384859567,0
iPG,0.08000585170617469,0.05895886801401191,0.07978845608028654,0.060281027498908714,0.2501066749536351,0
iSUT,0.07962061364423727,0.05806462709888191,0.07978845608028654,0.060281027498908714,0.04360364369604554,0
iTRN,0.08040701432087932,0.06178466629867584,0.07978845608028654,0.060281027498908714,0.4791029337492638,0
iP5,0.07961485842964697,0.061163305798592436,0.07978845608028654,0.060281027498908714,0.2039268970080363,0
