Label,r
Ankrd1,-0.4378304189615238
Ccna2,-0.4396575551207458
Fus,0.44519092715766995
Kif14,-0.4524215704976185
Gm17434,-0.45327835072640504
Mpg,-0.44658297060084867
Kcnf1,-0.44421551357669414
Akr1c12,-0.442026393323719
Olfr605,-0.42984932210846266
Mrgprg,-0.4544097900701731
4930568D16Rik,-0.4696272893001223
Riox1,-0.45228266997961025
Pvrig,-0.4265614065706189
Gm11634,-0.4399293612361827
Cnp,0.4463235186943742
Pkn1,-0.43977364134118546
Col7a1,-0.43407484085370046
Mrgpra8,-0.44829691645478703
Mfap4,-0.43906587018253784
Arhgap8,-0.4288098532843266
Apold1,-0.4462213832840951
Taf5l,-0.4346122845376317
Mfsd4b1,-0.4566297114973558
Olfr154,-0.45646805167119586
Ndufb11b,-0.44132400216859047
Cysrt1,-0.4342791397817771
Serpine1,-0.45492725507950915
Serpind1,-0.435431820669476
1810009N02Rik,-0.43770307461995844
Baiap2l2,-0.4413803475672859
Adh4,-0.44056829462684527
Gga2,-0.4364957663724843
S1pr2,-0.44827746862683354
Riox2,-0.44011591320680515
Gm46320,-0.43008782986314403
Fyb,-0.43524191280687097
Gm20767,-0.436425604982994
Sp7,-0.43489911774818824
Sh3pxd2b,-0.44178826233828944
Matk,-0.44584041586570083
Gpr26,-0.43447367453531527
Ppig,0.43177887898044504
Clcn3,0.4400745288812611
Sstr3,-0.43468018535827735
Pak5,-0.44246597915173336
5730522E02Rik,-0.4400964684261699
Awat1,-0.4505094511901298
Otulin,-0.44347406774040055
Eid2b,-0.44067469603437903
Ccnd2,-0.4625069520911109
Zp3,-0.4419429958890184
Mettl23,-0.478585336858631
Wee1,-0.43557498459698457
Gm38999,-0.44466255490220186
F11,-0.44768754818519624
Gm38529,-0.45365638370975114
Vmp1,0.4327264977873737
Lamp2,0.4466411715504668
Ces3b,-0.4469613386503071
Acad9,0.4419936369225806
Shisa4,-0.44068593235920556
Zcchc4,-0.44511955499941985
Cntf,-0.4516793748694745
Vsx1,-0.4414628428947491
CK137956,-0.44583171326475707
Scara5,-0.4305265094553293
Olfr807,-0.4527958390662871
Tmprss6,-0.44199449459759227
Lpin3,-0.4354683327932316
Nepro,-0.4490177910409536
Gm17359,-0.44761930886149565
Mrpl44,0.43611980352634033
Nfib,-0.4566269332267241
Herpud1,0.4715178718545669
Ltbp2,-0.4287598466775453
Tkt,0.4738835277790354
Bcl11b,-0.4373471532970525
Lrp3,0.4505677515558187
Tmem33,0.44865768149286067
Boc,-0.44208544969043784
Il1r2,-0.45243132586891305
Dzip3,0.43815375487566527
Kcnj10,0.44610250264656837
Ifi35,-0.4364864315060186
Gm31493,-0.43163242109832173
Mill2,-0.4467875835228306
Serping1,-0.43015751891871856
Vmn2r76,-0.4385164950942831
Hsd17b6,-0.4290785240197408
Klhl18,-0.45003925961707925
Leng9,-0.44472808314889883
Defb35,-0.4394801428445915
Ilf2,0.4516365371239415
Hes1,-0.4418024580091167
Xcl1,-0.4361610800683728
Cd302,-0.4439656829191436
Cd33,-0.4527532691970309
Hnrnpd,0.4364644927539929
2300002M23Rik,-0.4324221475008157
Scg5,0.43735481785488256
